comment,classification
' e g text html charset utf ',WITHOUT_CLASSIFICATION
' Instance data ',WITHOUT_CLASSIFICATION
' find out how many days there are in the current month',WITHOUT_CLASSIFICATION
' i n mssql allRules All rules ',WITHOUT_CLASSIFICATION
' vector add moreButton ',WITHOUT_CLASSIFICATION
' search for it note that this code is incorrect for other than one to many',WITHOUT_CLASSIFICATION
' Remove quotes from charset name',WITHOUT_CLASSIFICATION
' and for advanced mode ',WITHOUT_CLASSIFICATION
' build the command line from what we got the format is ss Checkin VSS items H C I N O R W Y as specified in the SS EXE help',WITHOUT_CLASSIFICATION
' If a table cell is being edited we must cancel the editing before deleting the row',WITHOUT_CLASSIFICATION
' tree selection event',WITHOUT_CLASSIFICATION
' shapeLocation',WITHOUT_CLASSIFICATION
' ownedProperty ',WITHOUT_CLASSIFICATION
' Preserve original case',WITHOUT_CLASSIFICATION
' Is this item a copy see java lang Object equals java lang Object ',WITHOUT_CLASSIFICATION
' The JTable used for displaying all DB ResultSet info ',WITHOUT_CLASSIFICATION
' ignore error',WITHOUT_CLASSIFICATION
' SELECT SEQSCHEMA SEQNAME DEFINER DEFINERTYPE OWNER OWNERTYPE SEQID SEQTYPE INCREMENT START MAXVALUE MINVALUE NEXTCACHEFIRSTVALUE CYCLE CACHE ORDER DATATYPEID SOURCETYPEID CREATE TIME ALTER TIME PRECISION ORIGIN REMARKS FROM SYSCAT SEQUENCES WHERE SEQNAME and SEQSCHEMA schema ',WITHOUT_CLASSIFICATION
' send notification event see org columba mail gui message TextViewer',WITHOUT_CLASSIFICATION
' Clock ',WITHOUT_CLASSIFICATION
' Testing with more than one since it failed with a manual test I made ',WITHOUT_CLASSIFICATION
' If we are still on the root mapping itself ',WITHOUT_CLASSIFICATION
' register interest on status bar information',WITHOUT_CLASSIFICATION
' Revert to the previous value ',WITHOUT_CLASSIFICATION
' run ten separate calls into Ruby with delay and explicit GC',WITHOUT_CLASSIFICATION
' oldWidth JavaClassSATD width ',WITHOUT_CLASSIFICATION
' This could also just be true all the time ',WITHOUT_CLASSIFICATION
' create the class',WITHOUT_CLASSIFICATION
' These entries must be in the same order as columns are saved restored ',WITHOUT_CLASSIFICATION
' add children',WITHOUT_CLASSIFICATION
' Convert max x y to width height',WITHOUT_CLASSIFICATION
' Two stars next to each other skip the first one ',WITHOUT_CLASSIFICATION
' TODO We currently delete the old values before setting to something new This is a workaround to issue We should consider giving an API to get the lower and upper values so that controls can listen directly to those rather than the element containing those values ',DESIGN
' vertical orientation',WITHOUT_CLASSIFICATION
' Set the visibility annotations for the EstructuralFeature ',WITHOUT_CLASSIFICATION
' apply lower margin by decreasing lower bound ',WITHOUT_CLASSIFICATION
' see org argouml ui TabTarget getTarget ',WITHOUT_CLASSIFICATION
' layoutContainer method',WITHOUT_CLASSIFICATION
' non Javadoc see net sourceforge squirrel sql client plugin IPlugin load net sourceforge squirrel sql client IApplication ',WITHOUT_CLASSIFICATION
' Method is broken anyway',DESIGN
' createMultiFilePanel method',WITHOUT_CLASSIFICATION
' args should be at end',WITHOUT_CLASSIFICATION
' MouseListener implementation',WITHOUT_CLASSIFICATION
' UndefinedMethod should be immutable',WITHOUT_CLASSIFICATION
' isName int boolean',WITHOUT_CLASSIFICATION
' Do some stuff once loading is finished',WITHOUT_CLASSIFICATION
' default charset',WITHOUT_CLASSIFICATION
' Note expected in the syntax type listenerClass sep type listenerClass where sep is any whitespace or comma',WITHOUT_CLASSIFICATION
' getRequestCount method',WITHOUT_CLASSIFICATION
