@relation comments-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L3-H

@attribute comment string
@attribute classification {TEST,IMPLEMENTATION,DESIGN,DEFECT,DOCUMENTATION}

@data
' TODO We currently delete the old values before setting to something new This is a workaround to issue We should consider giving an API to get the lower and upper values so that controls can listen directly to those rather than the element containing those values ',DESIGN
' Method is broken anyway',DESIGN
' hibernate temp use jdbc metadata defaults is a temporary magic value The need for it is intended to be alleviated with future developement thus it is not defined as an Environment constant it is used to control whether we should consult the JDBC metadata to determine certain Settings default values it is useful to not do this when the database may not be available mainly in tools usage ',DESIGN
' This is a particularly nasty bit of code that checks for a parameter entity reference but peeks ahead to catch the in parameter entity declarations ',DESIGN
' NOTUSED private String chosenFile ',DESIGN
' First try for an accessible version of the exact match This first lookup seems redundant with below but is apparently needed This whole thing is messy ',DESIGN
' todo this might really even be moved into the cfg package and used as the basis for all things which are configurable ',DESIGN
' A Classifier can only have a single unnamed ClassifierRole so TODO This probably belongs in a critic instead of here',DESIGN
' TODO Why should not we call registerSQLDriver here RMM ',DESIGN
' TODO URLEncode ',DESIGN
' The DecisionModel is part of the state of the Designer It describes what types of decisions or design issues the Designer is thinking about at the current time Critics that are relevant to those decisions are made active Critics that are not relevant are made inactive TODO There is some notion that each decision has a certain importanance at a certain time but I have not followed through on that because I do not have good examples of how to quantify the importance of a decision TODO Right now the individual decisions are just Strings maybe they should have some non atomic structure author Jason Robbins ',DESIGN
' ArgoEventPump is an event dispatcher which handles events that are global in nature for the entire application p TODO DiagramAppearance and Notation events are not application wide and will be moved from here to someplace more specific in the future so that they can be managed on a per project or per diagram basis ',DESIGN
' This should NOT be looking for a NamedElement since this is not always about the name of this modelelement alone ',DESIGN
' all of the following have been converted to use the DataType objects So why not just have case Types NULL and default this seems pointless RMM ',DESIGN
' broken Eclipse workaround Febuary ',DESIGN
' for DOM J collections only TODO it would be better if this was done at the higher level by Printer',DESIGN
' Bug It is very important to get the URI from the URL and not simply do new File JavaClassSATD In the case where the path contains spaces they get encoded as in the string returned from JavaClassSATD java io File does not know how to deal with them i e replace them with spaces and the resulting File is rendered non existent ',DEFECT
' TODO Can we delegate this to a specialist FigName class ',DESIGN
' TODO SafeStringValue here',IMPLEMENTATION
' no need to take a snapshot this is a performance optimization but not really important except for entities with huge mutable property values',DEFECT
' TODO This is really quite attrocious since there is code that will assume an iterator that returns strings ',DESIGN
' TODO what if batchUpdate is a callablestatement calls executeBatch ',DEFECT
' TODO fix up for Nimbus LAF',DESIGN
' TODO improve this check',DESIGN
' TODO Allow adding models to a diagram issue ',DEFECT
' TODO Do we want isaUMLElement here ',IMPLEMENTATION
' Create an empty but initialized instance of a UML AssociationEnd return an initialized UML AssociationEnd instance TODO This needs an extra parameter to specify the model extent where the new element should be created ',DESIGN
' Note This class is messy The method and field resolution need to be rewritten Various methods in here catch NoSuchMethod or NoSuchField exceptions during their searches These should be rewritten to avoid having to catch the exceptions Method lookups are now cached at a high level so they are less important however the logic is messy ',DESIGN
' FIXME Why was this using a FullFunctionCallbackMethod before that did callSuper ',DESIGN
' TODO Move magic number to descriptive constant',DESIGN
' Not used as the testResult element is generated by the ResultCollector class',DESIGN
' yukky Do not you have subclasses for that TODO race conditions can happen here',DESIGN
' Do not try restoring the URL TODO wy not ',DEFECT
' TODO Document What does this do Interacts with event pump in some manner param objects new objeccts ',DOCUMENTATION
